,tackles_for_loss,solo_tackles,passes_defended,assists_on_tackles,total_tackles,sacks,interceptions,interceptions_returned_for_touchdown,yards_returned_from_interceptions,games,player_id,name,team_abbreviation
79,35.0,162.0,7.0,113.0,275.0,5.5,1.0,1.0,63.0,42.0,tanner-vallejo-1,Tanner Vallejo,Boise State
80,21.5,83.0,1.0,83.0,166.0,14.0,0.0,0.0,0.0,48.0,lorenzo-carter-1,Lorenzo Carter,Georgia
82,13.0,159.0,3.0,162.0,321.0,4.0,3.0,0.0,8.0,40.0,dre-greenlaw-1,Dre Greenlaw,Arkansas
83,23.5,184.0,11.0,173.0,357.0,4.5,5.0,0.0,39.0,40.0,kentrell-brothers-1,Kentrell Brothers,Missouri
84,17.5,77.0,3.0,61.0,138.0,6.5,2.0,0.0,1.0,28.0,bj-goodson-1,B.J. Goodson,Clemson
85,27.0,89.0,5.0,57.0,146.0,11.0,3.0,1.0,77.0,28.0,darron-lee-1,Darron Lee,Ohio State
87,24.0,124.0,7.0,99.0,223.0,8.0,1.0,0.0,15.0,40.0,christian-jones-1,Christian Jones,Florida State
88,26.5,208.0,14.0,146.0,354.0,3.5,4.0,1.0,126.0,46.0,cameron-smith-3,Cameron Smith,USC
89,0.0,12.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,50.0,aaron-brewer-1,Aaron Brewer,San Diego State
91,11.5,84.0,3.0,53.0,137.0,6.5,2.0,0.0,21.0,29.0,harvey-langi-2,Harvey Langi,Brigham Young
92,26.5,90.0,4.0,92.0,182.0,17.0,0.0,0.0,0.0,37.0,leonard-floyd-1,Leonard Floyd,Georgia
93,22.5,108.0,4.0,93.0,201.0,5.5,0.0,0.0,0.0,36.0,joel-iyiegbuniwe-1,Joel Iyiegbuniwe,Western Kentucky
94,16.0,108.0,11.0,91.0,199.0,4.0,2.0,0.0,3.0,45.0,ben-niemann-1,Ben Niemann,Iowa
96,4.0,22.0,1.0,8.0,30.0,2.0,0.0,0.0,0.0,8.0,sharif-finch-1,Sharif Finch,Temple
97,13.5,139.0,6.0,116.0,255.0,6.5,5.0,0.0,12.0,30.0,blake-martinez-1,Blake Martinez,Stanford
98,19.0,69.0,1.0,41.0,110.0,8.0,2.0,0.0,21.0,34.0,frankie-luvu-1,Frankie Luvu,Washington State
99,3.5,11.0,0.0,6.0,17.0,1.0,1.0,0.0,2.0,12.0,daniel-sorensen-1,Daniel Sorensen,Brigham Young
100,15.5,171.0,12.0,156.0,327.0,2.5,0.0,0.0,0.0,43.0,cole-holcomb-1,Cole Holcomb,North Carolina
102,32.5,198.0,8.0,176.0,374.0,6.0,4.0,0.0,73.0,51.0,danny-trevathan-1,Danny Trevathan,Kentucky
103,20.5,94.0,19.0,75.0,169.0,12.5,1.0,0.0,0.0,44.0,uchenna-nwosu-1,Uchenna Nwosu,USC
104,23.0,175.0,17.0,142.0,317.0,6.5,5.0,3.0,93.0,51.0,cj-mosley-1,C.J. Mosley,Alabama
105,7.0,59.0,7.0,54.0,113.0,1.0,6.0,1.0,39.0,33.0,mack-wilson-1,Mack Wilson,Alabama
106,29.0,234.0,4.0,242.0,476.0,5.0,2.0,0.0,0.0,49.0,keith-smith-2,Keith Smith,San Jose State
108,22.0,195.0,5.0,109.0,304.0,6.5,2.0,1.0,63.0,48.0,kenny-young-1,Kenny Young,UCLA
109,40.0,160.0,5.0,179.0,339.0,17.5,2.0,0.0,19.0,40.0,nick-vigil-1,Nick Vigil,Utah State
111,74.5,185.0,21.0,142.0,327.0,28.5,4.0,2.0,148.0,37.0,khalil-mack-1,Khalil Mack,Buffalo
112,39.5,169.0,10.0,77.0,246.0,12.5,0.0,0.0,0.0,33.0,david-long-2,David Long,West Virginia
113,45.5,166.0,7.0,101.0,267.0,9.5,1.0,0.0,2.0,33.0,jake-ryan-1,Jake Ryan,Michigan
115,20.9,159.0,3.0,97.0,256.0,6.5,0.0,0.0,0.0,43.0,matthew-adams-1,Matthew Adams,Houston
117,30.0,38.0,3.0,19.0,57.0,20.0,0.0,0.0,0.0,34.0,tim-williams-7,Tim Williams,Alabama
118,22.5,134.0,11.0,94.0,228.0,7.0,1.0,0.0,36.0,37.0,vontaze-burfict-1,Vontaze Burfict,Arizona State
119,37.5,215.0,15.0,151.0,366.0,8.0,10.0,1.0,94.0,53.0,tj-edwards-3,T.J. Edwards,Wisconsin
120,14.5,126.0,4.0,135.0,261.0,3.0,0.0,0.0,0.0,36.0,eric-wilson-5,Eric Wilson,Cincinnati
