,solo_tackles,assists_on_tackles,total_tackles,interceptions,interceptions_returned_for_touchdown,yards_returned_from_interceptions,games,player_id,name,team_abbreviation
55,213.0,152.0,365.0,7.0,1.0,41.0,50.0,jonathan-cyprien-1,Jonathan Cyprien,Florida International
56,123.0,66.0,189.0,5.0,1.0,131.0,51.0,michael-thomas-2,Michael Thomas,Stanford
57,105.0,69.0,174.0,1.0,0.0,0.0,26.0,daren-bates-1,Daren Bates,Auburn
58,70.0,34.0,104.0,5.0,0.0,54.0,22.0,tarvarius-moore-1,Tarvarius Moore,Southern Mississippi
60,56.0,25.0,81.0,6.0,3.0,127.0,32.0,duke-dawson-1,Duke Dawson,Florida
61,82.0,35.0,117.0,7.0,0.0,87.0,44.0,patrick-robinson-1,Patrick Robinson,Florida State
62,52.0,35.0,87.0,3.0,0.0,2.0,23.0,kevin-johnson-7,Kevin Johnson,Wake Forest
63,85.0,63.0,148.0,5.0,0.0,75.0,38.0,sharrod-neasman-1,Sharrod Neasman,Florida Atlantic
64,137.0,32.0,169.0,3.0,1.0,96.0,49.0,troy-hill-2,Troy Hill,Oregon
65,2.0,3.0,5.0,0.0,0.0,0.0,0.0,trae-waynes-1,Trae Waynes,Michigan State
66,92.0,69.0,161.0,9.0,3.0,286.0,35.0,chauncey-gardner-1,Chauncey Gardner,Florida
67,119.0,68.0,187.0,9.0,1.0,61.0,36.0,ross-cockrell-1,Ross Cockrell,Duke
69,221.0,98.0,319.0,5.0,0.0,98.0,38.0,sean-davis-1,Sean Davis,Maryland
70,5.0,0.0,5.0,1.0,0.0,7.0,3.0,xavien-howard-1,Xavien Howard,Baylor
71,110.0,29.0,139.0,0.0,0.0,0.0,25.0,phillip-gaines-1,Phillip Gaines,Rice
72,80.0,39.0,119.0,0.0,0.0,0.0,26.0,dontae-johnson-1,Dontae Johnson,North Carolina State
73,47.0,34.0,81.0,6.0,1.0,93.0,37.0,quincy-wilson-2,Quincy Wilson,Florida
74,2.0,12.0,14.0,0.0,0.0,0.0,0.0,josh-harvey-clemons-1,Josh Harvey-Clemons,Georgia
75,110.0,76.0,186.0,3.0,1.0,41.0,26.0,derwin-james-1,Derwin James,Florida State
76,78.0,25.0,103.0,2.0,0.0,0.0,30.0,ryan-lewis-2,Ryan Lewis,Pitt
78,28.0,7.0,35.0,2.0,0.0,16.0,8.0,ronald-darby-1,Ronald Darby,Florida State
79,162.0,73.0,235.0,3.0,1.0,59.0,31.0,jordan-whitehead-1,Jordan Whitehead,Pitt
80,113.0,76.0,189.0,3.0,0.0,83.0,26.0,ibraheim-campbell-1,Ibraheim Campbell,Northwestern
81,66.0,25.0,91.0,3.0,0.0,30.0,38.0,dre-kirkpatrick-1,Dre Kirkpatrick,Alabama
83,139.0,86.0,225.0,5.0,0.0,65.0,47.0,william-harris-4,William Harris,Boston College
84,78.0,32.0,110.0,6.0,2.0,180.0,43.0,aj-bouye-1,A.J. Bouye,UCF
85,73.0,34.0,107.0,2.0,0.0,24.0,23.0,josh-woods-1,Josh Woods,Maryland
86,103.0,65.0,168.0,7.0,1.0,59.0,39.0,tyler-rapp-2,Taylor Rapp,Washington
87,80.0,40.0,120.0,4.0,1.0,38.0,25.0,pj-williams-1,P.J. Williams,Florida State
89,213.0,111.0,324.0,10.0,0.0,61.0,45.0,armani-watts-1,Armani Watts,Texas A&M
90,66.0,46.0,112.0,4.0,0.0,38.0,36.0,adrian-phillips-1,Adrian Phillips,Texas
91,122.0,64.0,186.0,5.0,0.0,41.0,50.0,darryl-roberts-1,Darryl Roberts,Marshall
92,49.0,22.0,71.0,2.0,1.0,67.0,16.0,keisean-nixon-1,Keisean Nixon,South Carolina
93,236.0,148.0,384.0,9.0,1.0,107.0,51.0,patrick-chung-1,Patrick Chung,Oregon
94,83.0,46.0,129.0,6.0,1.0,97.0,50.0,duron-harmon-1,Duron Harmon,Rutgers
95,128.0,82.0,210.0,9.0,2.0,82.0,34.0,jermaine-whitehead-1,Jermaine Whitehead,Auburn
96,40.0,17.0,57.0,3.0,0.0,100.0,24.0,adrian-amos-1,Adrian Amos,Penn State
97,119.0,80.0,199.0,8.0,1.0,76.0,43.0,donovan-wilson-2,Donovan Wilson,Texas A&M
98,111.0,59.0,170.0,7.0,1.0,73.0,37.0,logan-ryan-1,Logan Ryan,Rutgers
99,54.0,41.0,95.0,11.0,1.0,274.0,33.0,morris-claiborne-1,Morris Claiborne,LSU
100,112.0,37.0,149.0,4.0,0.0,2.0,39.0,kyle-fuller-1,Kyle Fuller,Virginia Tech
101,70.0,26.0,96.0,8.0,0.0,127.0,21.0,aqib-talib-1,Aqib Talib,Kansas
102,61.0,20.0,81.0,5.0,1.0,46.0,29.0,marlon-humphrey-1,Marlon Humphrey,Alabama
103,1.0,1.0,2.0,0.0,0.0,0.0,1.0,russell-gage-1,Russell Gage,LSU
104,212.0,53.0,265.0,3.0,0.0,40.0,48.0,chidobe-awuzie-1,Chidobe Awuzie,Colorado
105,110.0,61.0,171.0,9.0,4.0,274.0,42.0,minkah-fitzpatrick-1,Minkah Fitzpatrick,Alabama
106,119.0,58.0,177.0,6.0,2.0,195.0,24.0,jessie-bates-1,Jessie Bates,Wake Forest
108,0.0,0.0,0.0,3.0,0.0,24.0,33.0,john-miller-1,John Miller,South Florida
109,96.0,33.0,129.0,0.0,0.0,0.0,24.0,anthony-brown-6,Anthony Brown,Purdue
110,15.0,19.0,34.0,0.0,0.0,0.0,18.0,anthony-hitchens-1,Anthony Hitchens,Iowa
111,81.0,40.0,121.0,10.0,0.0,191.0,36.0,vernon-hargreaves-iii-1,Vernon Hargreaves III,Florida
112,170.0,64.0,234.0,5.0,0.0,28.0,50.0,aaron-colvin-1,Aaron Colvin,Oklahoma
113,38.0,19.0,57.0,2.0,0.0,18.0,13.0,jalen-mills-1,Jalen Mills,LSU
114,227.0,155.0,382.0,3.0,0.0,7.0,39.0,clayton-geathers-1,Clayton Geathers,UCF
115,88.0,38.0,126.0,5.0,0.0,28.0,49.0,terrence-brooks-1,Terrence Brooks,Florida State
116,56.0,38.0,94.0,0.0,0.0,0.0,26.0,preston-brown-4,Preston Brown,Louisville
117,18.0,13.0,31.0,0.0,0.0,0.0,12.0,montae-nicholson-1,Montae Nicholson,Michigan State
118,22.0,15.0,37.0,0.0,0.0,0.0,16.0,brandon-wilson-3,Brandon Wilson,Houston
119,48.0,13.0,61.0,6.0,0.0,57.0,27.0,jordan-miller-3,Jordan Miller,Washington
121,213.0,155.0,368.0,6.0,0.0,58.0,53.0,kemal-ishmael-1,Kemal Ishmael,UCF
122,2.0,0.0,2.0,0.0,0.0,0.0,2.0,dare-ogunbowale-1,Dare Ogunbowale,Wisconsin
124,23.0,26.0,49.0,1.0,0.0,49.0,13.0,matthias-farley-1,Matthias Farley,Notre Dame
125,139.0,113.0,252.0,8.0,1.0,77.0,48.0,jaquan-johnson-1,Jaquan Johnson,Miami (FL)
127,192.0,78.0,270.0,9.0,0.0,60.0,36.0,deone-bucannon-1,Deone Bucannon,Washington State
128,22.0,19.0,41.0,0.0,0.0,0.0,0.0,david-mayo-1,David Mayo,Texas State
129,0.0,0.0,0.0,2.0,0.0,11.0,25.0,thomas-davis-1,Thomas Davis,Georgia
130,62.0,18.0,80.0,4.0,0.0,10.0,24.0,jc-jackson-1,J.C. Jackson,Maryland
131,72.0,33.0,105.0,6.0,1.0,87.0,30.0,darqueze-dennard-1,Darqueze Dennard,Michigan State
132,92.0,45.0,137.0,1.0,0.0,0.0,31.0,rashaan-gaulden-1,Rashaan Gaulden,Tennessee
133,42.0,14.0,56.0,2.0,0.0,4.0,18.0,jourdan-lewis-1,Jourdan Lewis,Michigan
136,183.0,82.0,265.0,10.0,2.0,212.0,48.0,sean-chandler-2,Sean Chandler,Temple
137,131.0,49.0,180.0,8.0,2.0,171.0,45.0,blidi-wreh-wilson-1,Blidi Wreh-Wilson,Connecticut
138,103.0,61.0,164.0,6.0,0.0,6.0,43.0,kevin-king-5,Kevin King,Washington
139,39.0,14.0,53.0,0.0,0.0,0.0,11.0,charles-washington-2,Charles Washington,Fresno State
140,147.0,54.0,201.0,9.0,0.0,0.0,46.0,sherrick-mcmanis-1,Sherrick McManis,Northwestern
141,158.0,103.0,261.0,3.0,1.0,18.0,47.0,eric-rowe-1,Eric Rowe,Utah
142,91.0,53.0,144.0,3.0,0.0,44.0,35.0,greg-mabin-1,Greg Mabin,Iowa
143,117.0,95.0,212.0,5.0,2.0,64.0,49.0,deshazor-everett-1,Deshazor Everett,Texas A&M
144,8.0,6.0,14.0,0.0,0.0,0.0,9.0,jalen-reeves-maybin-1,Jalen Reeves-Maybin,Tennessee
145,157.0,61.0,218.0,8.0,0.0,166.0,40.0,joe-haden-1,Joe Haden,Florida
146,198.0,92.0,290.0,3.0,0.0,11.0,50.0,chris-harris-1,Chris Harris,Kansas
147,112.0,45.0,157.0,5.0,1.0,106.0,35.0,justin-coleman-2,Justin Coleman,Tennessee
148,181.0,77.0,258.0,8.0,1.0,52.0,40.0,tony-jefferson-1,Tony Jefferson,Oklahoma
149,87.0,42.0,129.0,7.0,0.0,35.0,31.0,jonathan-jones-3,Jonathan Jones,Auburn
150,149.0,89.0,238.0,6.0,2.0,105.0,52.0,devin-mccourty-1,Devin McCourty,Rutgers
151,156.0,70.0,226.0,6.0,0.0,2.0,36.0,mike-hilton-1,Mike Hilton,Ole Miss
